character_id|series_id
62437|0
59317|0
57493|0
57491|0
81907|0
57489|0
98537|0
81911|0
82757|0
16242|0
16242|28
140311|0
81913|0
128459|0
127655|0
68495|0
128399|0
81919|0
140314|0
140309|0
127656|0
84499|0
120271|0
128457|0
75268|47
68497|0
89081|0
123863|53
123863|54
123863|55
79985|0
81909|0
81915|0
12969|0
12969|28
128824|0
159622|0
80265|0
127654|0
74345|0
81917|0
82759|0
65885|0
140316|0
13531|84
13531|85
13531|126
6977|84
6977|85
6977|126
13534|84
13534|85
13534|126
13533|84
13533|85
13533|126
112213|47
13532|84
13532|85
13532|126
29975|126
13535|84
13535|85
13535|126
35595|47
28460|84
28460|85
28460|126
28461|126
30264|84
30264|85
30264|126
49067|124
49067|177
21005|47
10966|47
10966|184
140415|132
140415|188
29980|84
29980|85
29980|126
29979|84
29979|85
29979|126
14117|84
14117|85
14117|126
48759|84
48759|85
48759|126
17874|85
17874|126
40716|126
29977|84
29977|85
29977|126
16725|84
16725|85
16725|126
52351|126
42091|126
87041|168
39586|84
39586|85
39586|126
86037|126
97999|126
30266|53
30266|54
30266|55
30267|53
30267|54
30267|55
22998|53
22998|54
22998|55
127853|53
127853|54
210737|193
131916|53
131916|54
44274|193
93453|53
93453|54
93453|55
151430|54
210733|193
210736|193
105919|210
105919|292
151432|54
42945|193
149385|54
93421|53
93421|54
93421|55
111037|53
111037|54
111037|55
94583|53
94583|54
94583|55
94395|53
94395|54
94395|55
164153|193
164153|236
49501|124
42331|124
53905|126
29976|126
20478|124
25403|343
32666|124
40117|343
40114|343
44579|124
44581|124
46953|124
32204|124
91899|53
91899|54
91899|55
30609|124
40112|343
56225|343
40119|343
56089|343
43404|124
32733|124
52927|124
32194|124
32193|124
47035|124
32236|124
40118|343
40110|343
50789|124
52165|343
46073|124
32961|124
32657|124
52527|124
56093|343
39520|343
33076|312
33076|343
25402|343
23248|312
23248|343
54093|312
54093|343
36117|312
36117|343
55455|312
55455|343
56227|343
46633|343
56223|343
127251|53
127251|54
127849|53
127849|54
6451|124
46829|124
32246|124
226471|627
226486|627
56219|343
40113|343
33077|312
33077|343
25405|312
25405|343
85313|343
39885|312
39885|343
39886|312
39886|343
56221|312
56221|343
25401|312
25401|343
25656|312
25656|343
55085|378
55085|531
39519|312
39519|343
56173|343
46397|124
32027|312
32027|343
156767|391
156767|549
85315|343
40109|312
40109|343
56087|343
39937|312
39937|343
85329|343
40111|343
39882|312
39882|343
31320|343
26220|343
25404|312
25404|343
85333|343
23247|312
23247|343
52929|124
47449|124
34149|427
94579|53
94579|54
94579|55
55459|343
85327|343
17135|437
104849|210
104849|292
8754|427
30829|312
30829|343
39521|312
39521|343
28264|631
191224|452
167524|454
167524|455
167524|456
167524|640
33885|427
33885|644
32668|124
32668|177
28263|631
11781|437
11781|468
148223|470
51273|132
51273|188
1999|475
70305|391
70305|478
70305|549
35096|631
153262|631
149826|679
117791|487
117791|683
117791|679
117791|685
117517|492
117517|487
117517|683
117517|679
117517|685
3428|498
3428|499
3428|487
3428|501
3428|502
3428|683
3428|679
3428|685
127964|487
127964|683
127964|679
127964|685
32205|124
32205|513
32205|177
123864|53
123864|54
123864|55
97569|520
97569|520
97569|723
97943|520
97943|520
97943|723
97577|520
97577|723
97573|520
97573|723
28389|427
28389|644
12243|427
12243|644
6236|427
6236|644
13227|427
13227|644
6235|427
6235|644
6237|427
6237|644
2008|498
2008|499
2008|492
2008|555
2008|501
2008|502
2008|683
2008|679
2008|685
196875|679
106839|210
106839|292
54129|378
23420|683
23420|679
146238|391
146238|478
146238|549
31274|576
31274|577
32209|579
32209|124
135215|679
198175|679
197395|679
69295|53
69295|54
69295|55
169701|54
129330|53
129330|54
93101|53
93101|54
93101|55
149946|54
130183|579
130183|177
626|606
626|835
3881|437
3881|468
50695|378
50695|613
50695|531
55073|378
55073|531
55079|378
55079|531
125884|378
125884|531
83379|378
83379|531
111631|378
111631|531
183472|454
183472|640
60203|132
60203|635
60203|188
23418|499
23418|487
23418|683
23418|679
197047|679
201310|679
23476|499
23476|487
23476|683
23476|679
166064|679
217214|679
195848|679
1662|498
1662|499
1662|492
1662|487
1662|662
1662|683
1662|679
217812|679
55293|499
55293|487
55293|502
55293|683
55293|679
128488|579
128488|177
99437|53
99437|54
99437|55
94109|53
94109|54
94109|55
55071|378
55071|531
85139|378
85139|531
145889|378
145889|531
145748|378
145748|531
29805|378
29805|531
67207|378
67207|531
199112|378
199112|531
55075|378
55075|531
82859|378
82859|531
33355|378
33355|531
84077|378
84077|531
114749|579
114749|177
122467|53
122467|54
157866|391
157866|549
109783|53
109783|54
109783|55
47171|132
47171|635
47171|188
99167|53
99167|54
99167|55
157867|391
157867|549
127593|53
127593|54
109297|53
109297|54
109297|55
159564|210
155511|391
155511|549
127770|168
183442|756
72323|579
72323|759
72323|760
72323|761
72323|177
97765|210
97765|292
154709|391
154709|549
157401|391
157401|549
117075|210
32728|579
32728|177
154708|391
154708|549
159566|210
70297|391
70297|478
70297|549
157254|391
157254|549
154707|391
154707|549
142623|793
142623|1080
4608|796
4608|797
4608|798
182279|800
4606|796
4606|803
4606|804
4606|797
4606|798
4605|796
4605|797
4605|798
147823|391
147823|478
147823|549
148359|391
148359|478
148359|549
31352|391
31352|478
31352|549
47173|132
47173|635
47173|188
51289|635
51289|188
51287|132
51287|635
60125|635
47169|132
47169|635
47169|188
80127|635
84549|132
84549|635
84549|188
79875|635
55335|132
55335|635
55335|188
7095|796
6831|796
103945|579
103945|857
103945|177
159561|210
97763|210
97763|292
7286|796
9193|796
36919|796
179993|871
27489|873
27489|874
182755|876
