id|first_name|last_name|anime_list|pictures|value
34689|Mrs.|Bradley|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/12/94407.jpg|15
10982|Selim|Bradley|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/16/56927.jpg,https://cdn.myanimelist.net/images/characters/9/71041.jpg,https://cdn.myanimelist.net/images/characters/5/71042.jpg,https://cdn.myanimelist.net/images/characters/13/79472.jpg,https://cdn.myanimelist.net/images/characters/7/86808.jpg,https://cdn.myanimelist.net/images/characters/11/92191.jpg|415
5103|King|Bradley|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/11/62053.jpg,https://cdn.myanimelist.net/images/characters/6/492870.jpg|565
16648|Heymans|Breda|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/6/35404.jpg,https://cdn.myanimelist.net/images/characters/10/59486.jpg|115
23106|Denny|Brosh|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/12/56211.jpg|15
15541|""|Buccaneer|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/13/68103.jpg,https://cdn.myanimelist.net/images/characters/7/71767.jpg,https://cdn.myanimelist.net/images/characters/12/89676.jpg|122
17103|Rebecca|Catalina|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/3/80953.jpg,https://cdn.myanimelist.net/images/characters/6/80954.jpg,https://cdn.myanimelist.net/images/characters/15/92192.jpg|15
15532|Mei|Chang|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/13/35391.jpg,https://cdn.myanimelist.net/images/characters/3/63259.jpg,https://cdn.myanimelist.net/images/characters/9/73048.jpg,https://cdn.myanimelist.net/images/characters/5/73285.jpg,https://cdn.myanimelist.net/images/characters/12/76134.jpg,https://cdn.myanimelist.net/images/characters/11/76481.jpg,https://cdn.myanimelist.net/images/characters/10/80248.jpg,https://cdn.myanimelist.net/images/characters/9/81534.jpg|363
50123|Charlie|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/3/177589.jpg|10
169503|Giolio|Comanche|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/10/467571.jpg|10
10944|Cornello|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/4/57099.jpg|15
10948|Cray|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/2/62117.jpg|10
10972|Sig|Curtis|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/10/55433.jpg|218
67|Izumi|Curtis|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/13/35392.jpg,https://cdn.myanimelist.net/images/characters/8/77448.jpg,https://cdn.myanimelist.net/images/characters/12/78858.jpg,https://cdn.myanimelist.net/images/characters/2/81202.jpg,https://cdn.myanimelist.net/images/characters/5/85257.jpg,https://cdn.myanimelist.net/images/characters/14/85258.jpg,https://cdn.myanimelist.net/images/characters/3/85259.jpg,https://cdn.myanimelist.net/images/characters/6/85260.jpg|492
52739|Damiano|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/5/303010.jpg|10
15538|Darius|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/11/31059.jpg,https://cdn.myanimelist.net/images/characters/7/79965.jpg|69
10964|Dolcetto|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/11/56209.jpg,https://cdn.myanimelist.net/images/characters/4/81606.jpg|55
27028|Dr. Knox|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/14/68170.jpg,https://cdn.myanimelist.net/images/characters/12/69691.jpg|90
10085|Trisha|Elric|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/11/59741.jpg|262
651|Envy|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/8/38429.jpg,https://cdn.myanimelist.net/images/characters/16/73470.jpg,https://cdn.myanimelist.net/images/characters/14/79027.jpg,https://cdn.myanimelist.net/images/characters/3/80246.jpg,https://cdn.myanimelist.net/images/characters/3/81199.jpg,https://cdn.myanimelist.net/images/characters/5/220883.jpg,https://cdn.myanimelist.net/images/characters/7/221613.jpg|598
5706|Vato|Falman|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/9/35398.jpg,https://cdn.myanimelist.net/images/characters/6/70275.jpg,https://cdn.myanimelist.net/images/characters/11/78857.jpg|69
75268|""|Fokker|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/8/222877.jpg|15
23461|Fu|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/5/56605.jpg,https://cdn.myanimelist.net/images/characters/4/70274.jpg|164
5705|Kain|Fuery|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/10/35399.jpg,https://cdn.myanimelist.net/images/characters/4/35400.jpg,https://cdn.myanimelist.net/images/characters/10/70276.jpg|160
35144|Garfiel|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/14/95776.jpg|15
5411|Gluttony|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/2/35388.jpg,https://cdn.myanimelist.net/images/characters/11/73292.jpg,https://cdn.myanimelist.net/images/characters/2/74580.jpg,https://cdn.myanimelist.net/images/characters/3/78718.jpg,https://cdn.myanimelist.net/images/characters/12/81160.jpg|357
2439|Basque|Grand|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/6/62107.jpg,https://cdn.myanimelist.net/images/characters/7/72500.jpg|15
351|Greed|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/15/77733.jpg,https://cdn.myanimelist.net/images/characters/10/78721.jpg,https://cdn.myanimelist.net/images/characters/15/79208.jpg,https://cdn.myanimelist.net/images/characters/14/79562.jpg,https://cdn.myanimelist.net/images/characters/7/81198.jpg,https://cdn.myanimelist.net/images/characters/4/284117.jpg,https://cdn.myanimelist.net/images/characters/7/284146.jpg|653
15531|Grumman|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/3/56213.jpg,https://cdn.myanimelist.net/images/characters/4/80952.jpg,https://cdn.myanimelist.net/images/characters/11/81604.jpg|151
21072|Hakuro|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/16/63994.jpg|10
105499|Harris|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/16/243921.jpg|10
4685|Jean|Havoc|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/12/35452.jpg,https://cdn.myanimelist.net/images/characters/14/35453.jpg,https://cdn.myanimelist.net/images/characters/9/61345.jpg,https://cdn.myanimelist.net/images/characters/13/61541.jpg,https://cdn.myanimelist.net/images/characters/8/76640.jpg,https://cdn.myanimelist.net/images/characters/4/80983.jpg|369
70|Riza|Hawkeye|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/4/39616.jpg,https://cdn.myanimelist.net/images/characters/14/61352.jpg,https://cdn.myanimelist.net/images/characters/14/61353.jpg,https://cdn.myanimelist.net/images/characters/3/83615.jpg,https://cdn.myanimelist.net/images/characters/10/89080.jpg,https://cdn.myanimelist.net/images/characters/3/186273.jpg,https://cdn.myanimelist.net/images/characters/9/186283.jpg,https://cdn.myanimelist.net/images/characters/11/310193.jpg,https://cdn.myanimelist.net/images/characters/3/451785.jpg,https://cdn.myanimelist.net/images/characters/12/507574.jpg,https://cdn.myanimelist.net/images/characters/15/510238.jpg|647
75922|Berthold|Hawkeye|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/10/402739.jpg|10
15536|Heinkel|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/15/31057.jpg,https://cdn.myanimelist.net/images/characters/15/80244.jpg|135
9792|Van|Hohenheim|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/10/31590.jpg,https://cdn.myanimelist.net/images/characters/4/68760.jpg,https://cdn.myanimelist.net/images/characters/5/75727.jpg,https://cdn.myanimelist.net/images/characters/4/79469.jpg,https://cdn.myanimelist.net/images/characters/11/79470.jpg,https://cdn.myanimelist.net/images/characters/3/80676.jpg,https://cdn.myanimelist.net/images/characters/2/81069.jpg|578
15542|Homunculus|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/3/65390.jpg,https://cdn.myanimelist.net/images/characters/13/68083.jpg,https://cdn.myanimelist.net/images/characters/2/68377.jpg,https://cdn.myanimelist.net/images/characters/6/73471.jpg,https://cdn.myanimelist.net/images/characters/13/80675.jpg,https://cdn.myanimelist.net/images/characters/15/80810.jpg,https://cdn.myanimelist.net/images/characters/10/347908.jpg|345
10954|Gracia|Hughes|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/7/53529.jpg,https://cdn.myanimelist.net/images/characters/4/59485.jpg|55
22474|Elicia|Hughes|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/13/53527.jpg|164
69|Maes|Hughes|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/13/24504.jpg,https://cdn.myanimelist.net/images/characters/13/24505.jpg,https://cdn.myanimelist.net/images/characters/16/26357.jpg,https://cdn.myanimelist.net/images/characters/6/26358.jpg,https://cdn.myanimelist.net/images/characters/15/35451.jpg,https://cdn.myanimelist.net/images/characters/3/56575.jpg,https://cdn.myanimelist.net/images/characters/13/73469.jpg,https://cdn.myanimelist.net/images/characters/2/81114.jpg,https://cdn.myanimelist.net/images/characters/4/343974.jpg,https://cdn.myanimelist.net/images/characters/13/388694.jpg,https://cdn.myanimelist.net/images/characters/14/510237.jpg|658
15533|Jerso|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/16/75700.jpg,https://cdn.myanimelist.net/images/characters/12/303011.jpg|55
92915|Karley|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/2/303012.jpg|15
6590|Solf J.|Kimblee|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/4/69657.jpg,https://cdn.myanimelist.net/images/characters/2/70571.jpg,https://cdn.myanimelist.net/images/characters/13/73900.jpg,https://cdn.myanimelist.net/images/characters/8/75741.jpg,https://cdn.myanimelist.net/images/characters/6/79471.jpg,https://cdn.myanimelist.net/images/characters/6/81608.jpg|494
135041|Knox&#039;s Son|""|Fullmetal Alchemist: Brotherhood|https://cdn.myanimelist.net/images/characters/5/348682.jpg|10
